Company,Weighted_Score_2013,Weighted_Score_2015,Weighted_Score_2016,Weighted_Score_2017,Weighted_Score_2018,Weighted_Score_2019,Weighted_Score_2020,Weighted_Score_2021,Weighted_Score_2022,Weighted_Score_2023,Weighted_Score_2024,Classification
Bajaj Auto,,26.94225248843761,35.15794174942691,32.910235298463384,26.752816133397474,28.653092262286318,41.52482316610599,25.18073809864808,14.687301476595731,5.412097461162506,4.972480180214421,Strong but Declining
Hero Motocorp,,8.834186397044435,9.098083432631748,4.086021639164412,6.0183911365633165,5.909091178241362,4.4716442915352435,3.7810973491159756,3.0237836769160444,2.5181806331920575,3.9953479390538984,Strong but Declining
Maruti Suzuki,,1.4225859610070137,4.213907759577769,5.427833270254421,2.008904883272674,3.077015057166856,2.879424603225683,3.857422938846793,2.8341102400558293,2.725903365542744,4.911334835209346,Strong and Improving
TVS Motor Co,,0.3885405709045124,0.3963046073758441,0.39751033532318386,0.5553193657140385,0.5660539958974241,0.6906015948259395,0.5837737608770023,0.5774467960129847,0.6720889737647545,0.6537546210130011,Strong and Improving
